Actual.cereal,Previo.cereal
0.0002097863,0.0014616094
0.0001617984,0.0014612271
0.0002450477,0.0014620682
0.0002255403,0.0014605391
0.0002919656,0.0014617623
0.0002627965,0.0014618388
0.00027889,0.0014607684
0.0002092652,0.0014619917
0.0002550409,0.0014604627
0.0002957368,0.0015027252
0.0002454549,0.0014603862
0.0002527464,0.0015027252
0.0001956082,0.0014619917
0.0003008143,0.0014603862
0.0002323186,0.0015024926
0.0002378381,0.0014606155
0.000294397,0.0014617623
0.000245737,0.001460692
0.0002550409,0.0015027252
0.0002448286,0.0014604627
0.0003009878,0.0015024926
0.0002262618,0.0015024926
0.0001713481,0.001460692
0.0003980823,0.0014619917
0.0002254502,0.0014604627
0.0002091494,0.0014610742
0.0002256605,0.001460692
0.000282677,0.0014618388
0.0003248285,0.0014620682
0.0002262618,0.0014605391
0.0002731417,0.0014617623
0.0002732409,0.0014616094
0.0002800268,0.0014607684
0.0002637051,0.0014605391
0.0002550409,0.0014604627
0.0002468669,0.0015027252
0.0002903957,0.0014604627
0.0001862679,0.0015027252
0.0002456743,0.0014604627
0.0002707999,0.0015028028
0.0002262618,0.0015031129
0.0002731417,0.0014604627
0.0002438595,0.0015027252
0.0003206965,0.0014603862
0.0001862679,0.0014610742
0.00029584,0.0014604627
0.0001377572,0.0014606155
0.0003068103,0.0014604627
0.000223353,0.0014604627
0.00031283,0.0015038884
0.0002619542,0.0014604627
0.0002086291,0.0014606155
0.0002638675,0.0014605391
0.0002333867,0.0014618388
0.0002460192,0.0015027252
0.0002940539,0.0014604627
0.0002809646,0.0014606155
0.0002731417,0.001460692
0.0002090627,0.0014618388
0.0002450477,0.0014620682
0.0002732409,0.0014605391
0.0002731417,0.0014617623
0.0002692881,0.0014616094
0.00027889,0.0014607684
0.0003142111,0.0014605391
0.0002550409,0.0014604627
0.0002468669,0.0015027252
0.0002263219,0.0014604627
0.0002733401,0.0014619152
0.0002258408,0.001460692
0.0001619765,0.0014618388
0.0002456429,0.0014620682
0.0002236221,0.0014605391
0.0002461447,0.0015038884
0.0002708987,0.0014616094
0.00027889,0.0014606155
0.0002707999,0.0014619917
0.0002602414,0.0014612271
0.000342139,0.0014621446
0.000255009,0.0014605391
0.0002693209,0.0014617623
0.0002447973,0.0014604627
0.0002811323,0.0014606155
0.00029584,0.0014604627
0.0001607063,0.0014612271
0.0002456429,0.0014618388
0.0002732409,0.0014606155
0.0002262618,0.0014617623
0.0003015085,0.0014618388
0.00027889,0.0014607684
0.0003142111,0.0014605391
0.0002809646,0.0014618388
0.0002426429,0.0015038884
0.0003135024,0.0014618388
0.0002515713,0.0014613035
0.000223353,0.0015031129
0.0002809982,0.0014606155
0.0002731417,0.0014617623
0.0003092674,0.0014604627
